,Ovhd,Inst,Res,Non-inst,Bus/Fin,Comp/Eng/Sci,Mgnt,Admin/Off,Stdt,Aux,Prv/Stdt,Prv/Aux
New Dimensions Beauty Academy Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Dimensions School of Hair Design,-10.0,0,0,0,0,0,0,0,0,0,0,0
New England Hair Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
New England School of Hair Design,-10.0,0,0,0,0,0,0,0,0,0,0,0
New England School of Photography,-10.0,0,0,0,0,0,0,0,0,0,0,0
New England Tractor Trailer Training School of CT-Bridgeport,-10.0,0,0,0,0,0,0,0,0,0,0,0
New England Tractor Trailer Training School of Connecticut,-10.0,0,0,0,0,0,0,0,0,0,0,0
New England Tractor Trailer Training School of Massachusetts,-10.0,0,0,0,0,0,0,0,0,0,0,0
New England Tractor Trailer Training School of Rhode Island,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire Institute for Therapeutic Arts,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Tractor Trailer School Inc-Buffalo,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Polytechnic College,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Personal Training Institute of Columbus,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Personal Training Institute of Colorado,-10.0,0,0,0,0,0,0,0,0,0,0,0
Mr Leon's School of Hair Design-Lewiston,-10.0,0,0,0,0,0,0,0,0,0,0,0
Mr Leon's School of Hair Design-Moscow,-10.0,0,0,0,0,0,0,0,0,0,0,0
Mr Wayne's School of Unisex Hair Design,-10.0,0,0,0,0,0,0,0,0,0,0,0
Mueller College,-10.0,0,0,0,0,0,0,0,0,0,0,0
My Le's Beauty College,-10.0,0,0,0,0,0,0,0,0,0,0,0
MyComputerCareer.com-Columbus,-10.0,0,0,0,0,0,0,0,0,0,0,0
MyComputerCareer.com-Indianapolis,-10.0,0,0,0,0,0,0,0,0,0,0,0
MyComputerCareer.com-Raleigh,-10.0,0,0,0,0,0,0,0,0,0,0,0
Myotherapy College of Utah,-10.0,0,0,0,0,0,0,0,0,0,0,0
MyrAngel Beauty Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
NASCAR Technical Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Horizons Medical Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Nashville Barber and Style Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Academy of Beauty Arts-Farmington,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Academy of Beauty Arts-St Louis,-10.0,0,0,0,0,0,0,0,0,0,0,0
National American University-Harold D. Buckingham Graduate School,-10.0,0,0,0,0,0,0,0,0,0,0,0
National American University-Houston,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Aviation Academy of New England,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Aviation Academy of Tampa Bay,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Beauty College,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Career Education,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Career Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Holistic Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Personal Training Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Nashville College of Medical Careers,-10.0,0,0,0,0,0,0,0,0,0,0,0
Mr John's School of Cosmetology Esthetics & Nails-Decatur,-10.0,0,0,0,0,0,0,0,0,0,0,0
