Unnamed: 0,Ovhd,Rank,CONTROL
Valencia College,1.75,1868.0,1
Northern State University,1.75,1868.0,1
Wichita State University,1.75,1868.0,1
Pasco-Hernando State College,1.75,1868.0,1
Lake Michigan College,1.76,1882.0,1
University of Minnesota-Twin Cities,1.76,1882.0,1
The Evergreen State College,1.76,1882.0,1
The University of Texas at Austin,1.77,1896.0,1
Florida Gateway College,1.77,1896.0,1
University of California-Santa Cruz,1.77,1896.0,1
Pennsylvania State University-Main Campus,1.78,1906.5,1
University of West Alabama,1.8,1928.5,1
South Carolina State University,1.8,1928.5,1
Gulf Coast State College,1.81,1939.0,1
Broward College,1.81,1939.0,1
SUNY College of Optometry,1.81,1939.0,1
Seminole State College of Florida,1.82,1949.5,1
New Mexico State University-Main Campus,1.82,1949.5,1
St Petersburg College,1.82,1949.5,1
Bellevue College,1.82,1949.5,1
Oglala Lakota College,1.83,1956.5,1
Ohio State University-Main Campus,1.84,1963.5,1
University of California-Merced,1.84,1963.5,1
Rowan University,1.84,1963.5,1
Mississippi Valley State University,1.84,1963.5,1
California State University-East Bay,1.86,1978.5,1
Western Michigan University,1.86,1978.5,1
Western Nevada College,1.87,1988.0,1
Pensacola State College,1.87,1988.0,1
Kentucky State University,1.88,1999.5,1
University of Connecticut,1.88,1999.5,1
Metropolitan State University,1.88,1999.5,1
Schoolcraft College,1.89,2008.0,1
Florida SouthWestern State College,1.89,2008.0,1
SUNY Empire State College,1.91,2019.0,1
