Position,Count
Hosp Lab Tchn 4 Supv Nex,9
Hosp Med Transcriber,3
Hosp Med Transcriber Sr,19
Hosp Med Transcriber Sr Pd,1
Hosp Rad Physicist Supv,1
Hosp Unit Svc Crd 3,140
Hosp Unit Svc Crd Pd,5
Hs Assoc Clin Prof-Fy,4
Hs Assoc Clin Prof-Hcomp,80
Hs Asst Clin Prof-Fy,2
Hs Asst Clin Prof-Hcomp,139
Hs Clin Prof-Fy,2
Hs Clin Prof-Hcomp,108
Hvac Cntrl Tchn,14
Hvac Mech Ld,1
Hvy Duty Equip Tchn,8
Hvy Duty Equip Tchn Ast,1
Hvy Equip Operating Engr,4
Hvy Offroad Equip Mech,3
IT Architect 3,3
IT Architect 4,6
IT Architect 5,19
IT Security Anl 3,1
Illustrator Sr,2
Info Sys Anl 2,9
Info Sys Anl 3,14
Info Sys Anl 4,2
Info Sys Anl 5,2
Info Sys Mgr 1,1
Info Sys Supv 1,3
Info Sys Supv 2,10
Insp Planner Est Ex,11
Insp Planner Est Sr Ex,3
Instructional Designer 3,3
Instructional Designer 4,1
Intercol Ath Coach Ast Ex,63
Intercol Ath Head Coach Ex,21
Intern-Vet Med/Non Rep,7
Irrigation Spec,7
Jr Specialist,891
Lab Ast 1,108
Lab Ast 2,63
Lab Ast 3,78
Lab Ast 4,6
Lab Ast 4 Supv,4
Lab Glassblower Prn,1
Lab Helper,12
Lab Mechn,5
Lab Mechn Helper,2
Lab Mechn Prn,3
Lab Mechn Sr,2
Labor Rel Mgr 1,1
Labor Rel Repr 3,1
Laborer,18
Landscape Architect Asc,1
Landscape Architect Ast,3
Landscape Architect Sr,1
Laundry Machine Opr,2
Law Librarian,1
Lect In Summer Session,44
Lect Psoe-Ay-100%,16
Lect Soe-Ay,4
Lect Soe-Emeritus(Wos),1
Lect Soe-Fy,2
Lect-Ay,170
Lect-Ay-1/9,176
Lect-Ay-1/9-Continuing,4
Lect-Ay-Continuing,132
Lect-Fy,2
Lect-Fy-Continuing,4
Lect-Miscellaneous/Part Time,3
Librarian-Career Status,25
Librarian-Potntl Career Status,1
Library Ast 2,15
Library Ast 3,38
Library Ast 4,12
Library Ast 4 Supv,7
Library Ast 5,3
Library Ast 5 Supv,5
Lifeguard,1
Locksmith,3
Locksmith Ld,2
Lrng Skills Cnslr Sr Ex,9
Lrng Skls Cnslr,8
Lrng Skls Cnslr Ast,14
Lrng Skls Cnslr Prn Supv,3
Machinist,4
Mail Processor,5
Mail Processor Prn,2
Mail Processor Sr,14
Mail Svc Supv,3
Marketing Mgr 1,2
Marketing Mgr 2,1
